ticker,nt_currency,exchange_name,nt_country_name,nt_bloomberg_code,nt_bloomberg_id
COCHLEAR LTD,AUD,AUSTRALIAN S.E.,AUSTRALIA,COH AT,BBG000FT0N80
BIOGEN INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BIIB UW,BBG000C18861
BALL CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),BALL UN,BBG000BDDPK6
GRACO INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),GGG UN,BBG000BK9XD6
DANAHER CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DHR UN,BBG000BH3LR0
HILTON WORLDWIDE HOLDINGS IN,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),HLT UN,BBG0058KMJP2
PENTAIR PLC,USD,N.Y.S.E.,GREAT-BRITAIN,PNR UN,BBG000C223L9
TIS INC,JPY,TOKYO,JAPAN,3626 JT,BBG000MYGXQ2
WOLTERS KLUWER,EUR,EURONEXT AMSTERDAM,NETHERLANDS,WKL NA,BBG000BCHRW7
YAMAHA CORP,JPY,TOKYO,JAPAN,7951 JT,BBG000BDFSD6
ROCKWELL AUTOMATION INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),ROK UN,BBG000BBCHL8
EUROFINS SCIENTIFIC,EUR,EURONEXT PARIS,LUXEMBOURG,ERF FP,BBG000BH7B07
DAVITA INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DVA UN,BBG000MQ1VX1
TORONTO-DOMINION BANK,CAD,TSX Toronto Stock Exchange,CANADA,TD CT,BBG000BCRN55
AMADEUS IT GROUP SA,EUR,SIBE MERCADO CONTINUO,SPAIN,AMS SQ,BBG000QSDZF1
CENTENE CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),CNC UN,BBG000BDXFR9
NITTO DENKO CORP,JPY,TOKYO,JAPAN,6988 JT,BBG000BGP940
CAPITALAND INVESTMENT LTD/SI,SGD,SINGAPORE,SINGAPORE,CLI SP,BBG01231SS06
EXELON CORP,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),EXC UW,BBG000J6Y864
PROGRESSIVE CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),PGR UN,BBG000BR39M0
AXON ENTERPRISE INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),AXON UW,BBG000BHK5Z7
ASSICURAZIONI GENERALI,EUR,EURONEXT MILAN,ITALY,G IM,BBG000BC1V91
AUTODESK INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADSK UW,BBG000BM7TD3
LAMB WESTON HOLDINGS INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),LW UN,BBG00CZN9QJ7
QUANTA SERVICES INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),PWR UN,BBG000BBLBH6
DSM-FIRMENICH AG,EUR,EURONEXT AMSTERDAM,SWITZERLAND,DSFIR NA,BBG01F6K3S63
BROTHER INDUSTRIES LTD,JPY,TOKYO,JAPAN,6448 JT,BBG000BLR8N8
BOOKING HOLDINGS INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,BBG000BLC4L5
AGNICO EAGLE MINES LTD,CAD,TSX Toronto Stock Exchange,CANADA,AEM CT,BBG000CZ8QM8
VAT GROUP AG,CHF,SIX Swiss Exchange,SWITZERLAND,VACN SE,BBG00CMBNV19
